kanji,kosakata,grammar,reading,status
39,31,34,53,Siap
78,85,58,66,Siap
68,67,69,79,Siap
73,76,100,74,Siap
38,40,44,49,Siap
92,98,97,50,Siap
22,36,54,37,Siap
70,78,82,82,Siap
100,100,94,93,Siap
37,72,47,49,Siap
32,48,36,51,Siap
62,70,55,39,Siap
43,56,50,53,Siap
30,34,29,30,Belum Siap
55,72,63,62,Siap
33,36,64,63,Siap
67,66,81,52,Siap
35,43,49,53,Siap
88,89,100,82,Siap
37,46,41,54,Siap
42,62,70,50,Siap
82,73,43,93,Siap
27,33,51,59,Siap
63,65,68,65,Siap
90,84,70,73,Siap
24,16,35,57,Siap
58,60,51,68,Siap
66,69,52,48,Siap
82,84,55,75,Siap
28,28,50,59,Siap
32,26,53,31,Siap
60,70,45,37,Siap
63,53,82,50,Siap
65,62,63,61,Siap
61,56,77,64,Siap
43,54,35,42,Siap
56,60,76,68,Siap
66,75,66,28,Siap
52,52,61,55,Siap
90,93,98,73,Siap
65,63,79,89,Siap
39,35,27,53,Siap
80,72,67,66,Siap
31,42,40,27,Siap
74,71,79,61,Siap
84,87,79,51,Siap
42,45,59,79,Siap
64,77,84,65,Siap
71,63,48,61,Siap
85,75,85,67,Siap
82,98,96,65,Siap
48,55,75,61,Siap
41,45,52,60,Siap
43,56,46,62,Siap
49,54,54,37,Siap
62,57,55,72,Siap
68,72,63,86,Siap
53,71,64,59,Siap
75,75,67,79,Siap
59,59,62,63,Siap
92,88,100,55,Siap
63,56,78,47,Siap
100,100,95,81,Siap
63,63,62,67,Siap
44,46,42,63,Siap
43,43,53,29,Siap
73,74,63,80,Siap
51,56,47,76,Siap
91,78,80,57,Siap
61,73,74,54,Siap
52,63,57,60,Siap
44,37,32,57,Siap
42,23,47,49,Siap
46,48,48,67,Siap
75,77,72,76,Siap
70,62,58,90,Siap
34,23,50,49,Siap
61,73,65,73,Siap
71,66,63,75,Siap
43,43,35,72,Siap
61,79,72,68,Siap
68,47,66,50,Siap
38,34,60,43,Siap
68,64,24,84,Siap
72,69,67,75,Siap
84,80,72,60,Siap
81,89,68,85,Siap
32,36,48,46,Siap
34,57,54,60,Siap
79,70,71,68,Siap
61,61,77,66,Siap
70,57,56,67,Siap
100,100,100,100,Siap
69,73,68,89,Siap
85,82,69,47,Siap
83,77,80,76,Siap
72,70,63,67,Siap
42,65,68,54,Siap
69,70,86,32,Siap
42,64,70,59,Siap
38,55,76,56,Siap
57,49,52,45,Siap
56,77,72,61,Siap
100,100,88,79,Siap
10,28,43,20,Belum Siap
44,84,54,78,Siap
30,29,24,50,Belum Siap
58,50,18,48,Siap
87,83,72,74,Siap
57,57,63,61,Siap
38,36,47,72,Siap
26,48,50,51,Siap
68,79,79,76,Siap
51,44,45,48,Siap
57,56,59,85,Siap
55,56,71,55,Siap
40,27,26,45,Siap
86,100,87,95,Siap
58,82,64,57,Siap
26,18,45,24,Belum Siap
62,75,69,57,Siap
37,50,67,7,Siap
82,80,81,59,Siap
54,34,33,35,Siap
53,55,56,60,Siap
67,67,82,24,Siap
80,72,81,75,Siap
45,31,49,55,Siap
50,42,38,60,Siap
32,50,42,57,Siap
50,52,61,59,Siap
100,94,100,78,Siap
68,65,70,60,Siap
31,34,41,14,Belum Siap
84,85,77,87,Siap
84,100,69,85,Siap
69,97,93,63,Siap
29,24,23,69,Siap
42,46,53,41,Siap
89,87,100,59,Siap
44,57,33,92,Siap
66,77,43,47,Siap
75,78,72,61,Siap
31,53,39,37,Siap
64,67,60,50,Siap
0,0,13,41,Belum Siap
38,25,48,66,Siap
59,48,72,60,Siap
37,37,37,53,Siap
90,81,78,82,Siap
30,26,23,37,Belum Siap
50,47,51,58,Siap
65,61,65,45,Siap
86,87,75,62,Siap
28,29,44,44,Siap
81,94,74,58,Siap
65,58,47,44,Siap
30,46,44,63,Siap
72,61,64,78,Siap
45,75,79,66,Siap
50,43,45,53,Siap
62,54,54,67,Siap
59,53,56,49,Siap
64,57,59,36,Siap
72,70,86,55,Siap
90,100,90,72,Siap
36,33,48,49,Siap
100,100,100,73,Siap
22,20,12,37,Belum Siap
56,60,49,51,Siap
71,60,51,98,Siap
62,60,61,46,Siap
43,41,50,63,Siap
49,50,63,50,Siap
41,52,55,79,Siap
42,54,63,50,Siap
75,79,68,62,Siap
67,65,67,56,Siap
44,42,53,47,Siap
63,84,75,76,Siap
75,78,92,50,Siap
82,77,79,79,Siap
75,78,55,71,Siap
54,45,47,52,Siap
42,53,52,58,Siap
86,67,91,81,Siap
58,80,65,73,Siap
61,61,49,63,Siap
54,69,66,66,Siap
85,80,82,58,Siap
50,35,50,84,Siap
70,67,65,71,Siap
45,76,66,65,Siap
56,46,66,51,Siap
78,74,71,43,Siap
73,77,66,65,Siap
81,75,82,69,Siap
82,89,81,63,Siap
65,53,49,50,Siap
80,71,59,62,Siap
43,60,93,55,Siap
65,72,75,78,Siap
69,66,66,60,Siap
63,55,61,54,Siap
75,76,83,61,Siap
49,41,37,53,Siap
100,94,96,83,Siap
40,36,64,45,Siap
27,38,64,36,Siap
83,83,83,77,Siap
78,82,69,73,Siap
58,90,64,61,Siap
78,65,63,45,Siap
55,52,39,49,Siap
38,34,55,69,Siap
72,56,50,40,Siap
45,53,69,69,Siap
80,82,70,49,Siap
56,53,71,49,Siap
38,43,30,47,Siap
63,61,62,78,Siap
65,79,75,64,Siap
41,50,65,51,Siap
40,27,33,40,Siap
52,66,56,68,Siap
60,70,69,56,Siap
44,51,54,52,Siap
54,54,50,60,Siap
60,66,75,62,Siap
36,23,84,47,Siap
40,26,66,35,Siap
42,53,50,45,Siap
54,62,48,76,Siap
67,61,64,65,Siap
80,92,100,80,Siap
76,78,80,70,Siap
51,66,47,32,Siap
63,59,53,68,Siap
55,29,35,33,Siap
45,74,86,51,Siap
42,67,62,59,Siap
64,70,58,62,Siap
44,38,41,62,Siap
52,76,75,57,Siap
86,84,90,63,Siap
59,69,66,55,Siap
60,66,61,75,Siap
63,83,72,74,Siap
55,51,55,57,Siap
58,62,69,71,Siap
63,69,50,73,Siap
53,55,65,70,Siap
55,51,42,50,Siap
55,61,65,69,Siap
68,77,68,85,Siap
91,98,95,69,Siap
75,79,65,61,Siap
100,100,96,79,Siap
42,59,48,58,Siap
83,76,69,70,Siap
68,53,63,59,Siap
100,100,87,84,Siap
37,57,69,58,Siap
57,36,49,48,Siap
53,35,73,34,Siap
11,3,27,14,Belum Siap
31,67,47,63,Siap
42,41,36,53,Siap
62,60,73,59,Siap
59,69,72,77,Siap
95,94,83,63,Siap
89,82,64,70,Siap
51,49,53,42,Siap
27,41,42,58,Siap
77,60,64,38,Siap
40,28,18,75,Siap
94,100,79,100,Siap
87,79,78,60,Siap
45,57,64,56,Siap
22,39,34,32,Siap
96,91,75,78,Siap
56,66,42,68,Siap
73,89,100,50,Siap
19,33,46,28,Belum Siap
47,49,51,67,Siap
67,72,46,83,Siap
48,70,48,66,Siap
48,44,48,62,Siap
78,65,78,62,Siap
39,37,47,51,Siap
52,51,43,62,Siap
69,72,65,59,Siap
54,83,58,81,Siap
74,80,64,69,Siap
38,35,53,52,Siap
22,22,70,35,Siap
82,77,88,72,Siap
66,61,64,77,Siap
43,47,58,54,Siap
86,100,75,77,Siap
63,65,59,63,Siap
83,79,73,67,Siap
61,61,78,58,Siap
100,95,75,99,Siap
97,97,100,80,Siap
55,57,63,100,Siap
79,72,87,45,Siap
55,86,55,83,Siap
90,100,66,97,Siap
40,45,91,56,Siap
70,72,74,86,Siap
87,79,72,80,Siap
17,23,36,32,Belum Siap
33,31,37,67,Siap
25,20,45,16,Belum Siap
56,47,51,50,Siap
74,63,68,70,Siap
91,91,73,77,Siap
62,61,50,86,Siap
83,89,86,54,Siap
24,30,30,44,Belum Siap
35,27,62,49,Siap
54,52,79,61,Siap
50,73,63,63,Siap
56,69,34,62,Siap
18,22,24,34,Belum Siap
54,50,65,65,Siap
27,37,46,43,Siap
74,74,68,77,Siap
71,59,59,68,Siap
16,43,37,49,Siap
47,52,35,61,Siap
37,40,35,62,Siap
61,61,55,66,Siap
74,80,86,94,Siap
45,39,38,56,Siap
58,75,66,86,Siap
43,52,71,28,Siap
28,60,38,55,Siap
54,54,50,55,Siap
55,33,56,59,Siap
46,42,42,58,Siap
46,30,42,59,Siap
78,100,100,100,Siap
54,47,70,50,Siap
36,61,51,64,Siap
59,68,71,70,Siap
56,46,57,82,Siap
51,49,67,66,Siap
67,72,48,73,Siap
82,74,69,77,Siap
56,52,31,65,Siap
54,47,53,71,Siap
57,62,53,47,Siap
14,12,41,32,Belum Siap
26,23,45,65,Siap
81,80,97,45,Siap
95,97,78,75,Siap
47,55,60,59,Siap
65,75,62,63,Siap
73,69,81,69,Siap
100,100,100,96,Siap
84,75,67,66,Siap
64,51,45,64,Siap
39,35,68,45,Siap
19,25,69,57,Siap
67,70,68,63,Siap
31,63,60,50,Siap
31,29,47,37,Siap
45,45,59,58,Siap
44,34,49,53,Siap
87,94,100,59,Siap
72,78,45,100,Siap
53,64,63,80,Siap
90,94,79,75,Siap
55,47,66,64,Siap
38,41,38,64,Siap
86,98,88,84,Siap
69,68,76,70,Siap
30,46,16,45,Siap
56,54,52,49,Siap
49,43,29,73,Siap
33,25,43,50,Siap
74,84,69,58,Siap
100,100,100,89,Siap
21,45,56,41,Siap
71,71,63,66,Siap
47,39,60,65,Siap
54,50,69,12,Siap
35,62,46,32,Siap
31,53,51,67,Siap
47,73,65,87,Siap
36,33,70,32,Siap
59,70,69,46,Siap
58,57,86,61,Siap
54,60,66,53,Siap
33,43,64,60,Siap
49,43,53,58,Siap
80,75,75,88,Siap
63,77,57,69,Siap
48,39,63,63,Siap
47,62,46,71,Siap
87,65,69,74,Siap
13,28,38,46,Belum Siap
64,73,58,58,Siap
35,51,59,27,Siap
71,64,75,51,Siap
46,54,63,57,Siap
23,15,13,47,Belum Siap
24,41,39,56,Siap
55,71,54,92,Siap
71,66,64,75,Siap
42,32,44,49,Siap
82,72,71,68,Siap
23,24,46,50,Siap
56,51,70,58,Siap
31,51,42,25,Siap
37,42,45,53,Siap
53,56,40,100,Siap
49,41,22,52,Siap
37,60,58,64,Siap
69,92,81,73,Siap
59,45,53,47,Siap
68,79,61,89,Siap
38,38,45,62,Siap
53,83,58,73,Siap
71,91,75,67,Siap
8,15,23,18,Belum Siap
46,45,71,45,Siap
73,72,67,82,Siap
44,64,54,55,Siap
65,66,54,46,Siap
52,42,78,59,Siap
57,61,81,59,Siap
48,58,48,59,Siap
75,85,85,61,Siap
56,66,76,59,Siap
72,65,61,64,Siap
42,51,40,67,Siap
51,46,70,46,Siap
33,59,57,72,Siap
60,77,60,53,Siap
59,52,74,58,Siap
63,71,76,53,Siap
100,97,77,96,Siap
77,81,66,84,Siap
52,53,57,44,Siap
97,96,89,69,Siap
43,50,52,60,Siap
26,23,27,72,Siap
43,39,32,24,Siap
12,26,39,26,Belum Siap
62,49,88,72,Siap
49,65,58,42,Siap
90,90,87,76,Siap
51,58,59,57,Siap
58,55,44,50,Siap
69,70,100,54,Siap
18,16,29,33,Belum Siap
63,74,39,75,Siap
72,80,86,83,Siap
32,39,43,50,Siap
81,79,76,68,Siap
60,65,60,66,Siap
68,45,58,65,Siap
69,68,73,78,Siap
92,99,95,87,Siap
58,55,73,80,Siap
57,73,76,55,Siap
55,38,73,69,Siap
44,51,39,59,Siap
78,84,65,60,Siap
21,57,51,54,Siap
59,54,53,64,Siap
48,40,66,44,Siap
69,66,96,56,Siap
71,70,73,45,Siap
82,80,87,62,Siap
52,43,50,52,Siap
50,67,60,50,Siap
45,50,48,39,Siap
52,49,53,68,Siap
69,68,57,62,Siap
82,66,90,84,Siap
37,39,43,64,Siap
72,80,91,67,Siap
79,89,50,87,Siap
69,65,54,85,Siap
86,95,100,81,Siap
47,41,21,67,Siap
34,33,60,36,Siap
31,26,64,42,Siap
75,88,62,78,Siap
65,84,67,65,Siap
65,60,47,58,Siap
57,74,53,50,Siap
33,34,40,48,Siap
100,100,83,92,Siap
64,59,49,64,Siap
64,62,60,63,Siap
67,88,92,75,Siap
77,57,74,67,Siap
53,68,73,62,Siap
41,42,56,60,Siap
72,81,79,59,Siap
100,90,89,75,Siap
95,81,89,79,Siap
99,90,90,75,Siap
30,58,54,51,Siap
35,34,44,69,Siap
53,52,82,60,Siap
66,64,69,47,Siap
92,76,72,74,Siap
33,34,22,87,Siap
91,87,59,84,Siap
54,51,81,52,Siap
42,55,70,89,Siap
41,49,56,29,Siap
20,29,58,58,Siap
71,84,77,65,Siap
54,71,51,76,Siap
31,28,70,32,Siap
33,39,45,52,Siap
54,44,63,37,Siap
89,95,69,78,Siap
61,54,48,52,Siap
17,51,73,10,Siap
50,62,73,70,Siap
55,57,70,31,Siap
17,7,44,58,Siap
55,70,78,58,Siap
53,55,61,41,Siap
64,73,60,83,Siap
95,100,80,69,Siap
71,98,55,62,Siap
52,53,53,35,Siap
27,39,10,54,Siap
100,100,100,76,Siap
69,51,64,70,Siap
68,58,29,100,Siap
54,69,57,44,Siap
67,59,82,65,Siap
50,69,56,36,Siap
56,55,68,47,Siap
50,51,34,80,Siap
65,62,41,38,Siap
38,43,57,42,Siap
49,44,45,61,Siap
62,70,57,71,Siap
60,51,52,46,Siap
95,96,79,92,Siap
7,0,0,47,Belum Siap
73,86,78,90,Siap
89,96,63,78,Siap
18,18,23,54,Belum Siap
47,49,65,61,Siap
47,60,58,64,Siap
22,39,36,69,Siap
41,49,70,65,Siap
44,34,43,48,Siap
91,100,84,66,Siap
75,80,70,68,Siap
80,100,73,64,Siap
55,83,59,59,Siap
37,38,65,54,Siap
48,51,56,62,Siap
61,89,70,71,Siap
26,40,43,60,Siap
69,65,79,74,Siap
45,53,56,80,Siap
50,46,67,18,Siap
81,77,76,44,Siap
65,74,50,56,Siap
49,53,95,25,Siap
73,90,69,72,Siap
44,38,29,77,Siap
54,84,58,100,Siap
60,73,65,76,Siap
47,46,72,50,Siap
55,59,61,69,Siap
47,42,68,25,Siap
81,81,73,70,Siap
43,58,92,53,Siap
46,57,61,43,Siap
84,73,78,68,Siap
43,35,65,44,Siap
39,34,51,34,Siap
32,30,44,52,Siap
67,61,100,68,Siap
27,48,37,53,Siap
89,92,74,72,Siap
17,13,16,50,Belum Siap
71,100,100,72,Siap
71,49,77,59,Siap
70,54,53,48,Siap
40,44,28,67,Siap
56,71,63,61,Siap
57,58,49,68,Siap
72,85,70,54,Siap
62,46,51,52,Siap
67,57,46,71,Siap
61,56,73,66,Siap
60,57,52,45,Siap
64,71,78,66,Siap
13,14,33,46,Belum Siap
33,37,29,38,Siap
69,79,75,71,Siap
67,59,58,42,Siap
52,62,55,47,Siap
57,67,61,67,Siap
58,73,77,51,Siap
35,61,36,55,Siap
23,63,48,50,Siap
54,59,72,68,Siap
42,41,37,57,Siap
65,66,67,73,Siap
22,38,51,44,Siap
55,99,67,89,Siap
50,68,67,67,Siap
74,70,64,49,Siap
73,72,66,64,Siap
90,94,73,69,Siap
71,74,64,89,Siap
29,13,37,29,Belum Siap
35,39,49,59,Siap
42,52,59,50,Siap
58,63,56,57,Siap
80,69,78,69,Siap
45,37,52,35,Siap
62,56,63,52,Siap
39,39,16,37,Siap
36,46,43,49,Siap
30,38,25,35,Siap
43,47,75,61,Siap
39,23,42,39,Siap
26,36,35,21,Siap
74,76,77,66,Siap
37,25,32,60,Siap
100,100,86,100,Siap
68,68,59,62,Siap
62,63,89,50,Siap
45,50,61,51,Siap
68,74,63,71,Siap
54,45,51,67,Siap
50,79,62,58,Siap
100,100,98,85,Siap
67,59,58,59,Siap
92,87,88,61,Siap
36,56,54,41,Siap
36,71,66,63,Siap
100,96,75,77,Siap
52,42,36,68,Siap
100,92,100,65,Siap
71,95,71,74,Siap
58,60,69,37,Siap
77,82,80,85,Siap
87,71,68,55,Siap
84,63,68,75,Siap
20,35,71,10,Siap
36,46,62,25,Siap
53,38,59,42,Siap
60,54,51,32,Siap
72,80,58,74,Siap
56,69,61,61,Siap
23,30,32,63,Siap
63,65,71,61,Siap
77,75,70,69,Siap
61,89,100,51,Siap
69,91,84,60,Siap
83,75,78,63,Siap
68,65,63,50,Siap
48,50,89,49,Siap
24,25,32,39,Belum Siap
53,79,52,63,Siap
44,61,72,95,Siap
65,69,62,57,Siap
37,37,27,50,Siap
43,42,44,68,Siap
79,76,72,84,Siap
47,47,38,62,Siap
70,76,55,63,Siap
60,56,53,87,Siap
67,55,62,49,Siap
75,71,81,67,Siap
52,48,60,65,Siap
63,71,67,51,Siap
51,47,53,64,Siap
56,44,71,49,Siap
49,57,62,68,Siap
60,65,65,73,Siap
50,37,53,66,Siap
81,89,73,60,Siap
45,54,65,53,Siap
51,40,36,57,Siap
52,43,49,66,Siap
88,71,97,78,Siap
65,63,58,80,Siap
77,86,75,74,Siap
17,39,49,55,Siap
65,73,67,60,Siap
79,82,57,80,Siap
61,71,56,87,Siap
91,88,87,58,Siap
43,47,42,89,Siap
78,100,61,99,Siap
96,100,100,97,Siap
54,51,49,47,Siap
44,51,45,59,Siap
87,88,79,87,Siap
89,99,85,93,Siap
51,47,40,36,Siap
48,46,72,50,Siap
50,49,57,54,Siap
41,37,47,88,Siap
43,33,21,24,Belum Siap
36,38,52,37,Siap
33,57,45,69,Siap
50,71,54,54,Siap
63,64,69,33,Siap
86,90,78,93,Siap
35,33,52,32,Siap
76,74,55,95,Siap
46,65,73,39,Siap
51,60,57,57,Siap
66,79,71,69,Siap
32,38,42,38,Siap
71,75,77,67,Siap
61,72,75,83,Siap
68,74,55,63,Siap
73,73,44,100,Siap
100,100,100,88,Siap
45,40,60,65,Siap
45,52,67,16,Siap
42,39,43,61,Siap
53,47,53,60,Siap
46,51,65,49,Siap
81,92,77,94,Siap
83,86,67,68,Siap
26,53,53,34,Siap
45,45,56,61,Siap
61,62,65,47,Siap
54,47,55,84,Siap
69,72,77,82,Siap
63,63,62,68,Siap
16,36,39,41,Siap
90,85,84,57,Siap
93,91,97,93,Siap
47,43,48,39,Siap
61,42,50,65,Siap
66,67,58,89,Siap
61,72,69,69,Siap
68,77,57,63,Siap
100,98,78,78,Siap
64,51,56,52,Siap
45,48,42,44,Siap
36,36,44,47,Siap
39,59,30,83,Siap
67,69,75,78,Siap
84,95,92,54,Siap
53,48,59,25,Siap
70,62,57,81,Siap
45,62,83,60,Siap
71,92,60,92,Siap
100,100,88,91,Siap
45,52,53,74,Siap
47,61,55,78,Siap
82,78,66,76,Siap
62,71,91,61,Siap
100,99,95,74,Siap
66,72,68,64,Siap
47,48,78,47,Siap
79,74,76,86,Siap
86,86,75,72,Siap
76,70,94,54,Siap
72,68,73,69,Siap
81,90,81,87,Siap
86,79,72,84,Siap
85,88,79,64,Siap
74,57,64,53,Siap
47,47,72,75,Siap
58,63,45,41,Siap
80,91,90,76,Siap
41,35,62,31,Siap
61,67,64,79,Siap
48,49,51,43,Siap
51,66,55,50,Siap
88,78,84,80,Siap
63,66,62,71,Siap
50,57,53,76,Siap
27,34,42,52,Siap
76,75,63,71,Siap
69,71,63,79,Siap
94,100,75,65,Siap
53,54,51,46,Siap
66,63,68,46,Siap
56,62,63,30,Siap
94,92,91,100,Siap
53,59,84,76,Siap
65,59,59,69,Siap
71,70,60,70,Siap
60,57,73,62,Siap
44,50,57,56,Siap
50,69,84,71,Siap
91,86,98,81,Siap
31,43,43,42,Siap
72,57,59,74,Siap
33,59,54,67,Siap
84,87,74,79,Siap
9,39,50,49,Siap
44,44,39,58,Siap
64,60,77,45,Siap
85,96,63,56,Siap
57,64,84,60,Siap
46,47,48,41,Siap
100,100,71,62,Siap
24,13,14,49,Belum Siap
16,23,38,18,Belum Siap
70,67,66,68,Siap
43,50,46,60,Siap
43,37,35,59,Siap
71,82,93,48,Siap
49,58,51,63,Siap
52,57,58,64,Siap
27,36,33,52,Siap
59,91,60,61,Siap
77,71,80,58,Siap
55,50,64,35,Siap
81,100,72,78,Siap
45,40,60,49,Siap
25,37,29,62,Siap
41,51,42,41,Siap
54,56,63,60,Siap
78,73,85,57,Siap
41,76,47,50,Siap
73,67,72,68,Siap
33,37,39,42,Siap
90,93,75,96,Siap
54,56,69,35,Siap
81,85,60,100,Siap
53,65,53,62,Siap
70,78,70,63,Siap
73,67,95,58,Siap
50,76,73,76,Siap
44,75,54,69,Siap
78,84,72,85,Siap
59,61,72,62,Siap
75,78,85,54,Siap
59,63,61,58,Siap
87,92,74,88,Siap
50,45,66,48,Siap
81,100,84,65,Siap
62,64,53,67,Siap
34,36,32,49,Siap
64,46,49,52,Siap
45,44,78,50,Siap
81,82,85,66,Siap
49,50,39,69,Siap
45,50,71,63,Siap
23,26,38,36,Siap
55,44,58,63,Siap
0,20,18,29,Belum Siap
34,33,32,64,Siap
77,66,70,87,Siap
61,90,61,49,Siap
70,75,61,49,Siap
28,49,46,62,Siap
62,54,72,62,Siap
65,58,53,66,Siap
38,37,51,40,Siap
100,92,60,73,Siap
76,86,83,64,Siap
54,57,47,61,Siap
65,63,51,74,Siap
63,56,66,60,Siap
23,16,33,24,Belum Siap
51,57,74,43,Siap
30,55,53,40,Siap
32,35,37,56,Siap
55,51,66,64,Siap
97,100,69,100,Siap
79,79,67,48,Siap
53,49,37,69,Siap
54,63,76,57,Siap
80,100,94,57,Siap
81,78,82,72,Siap
67,59,50,56,Siap
51,43,61,57,Siap
67,84,69,73,Siap
66,70,63,74,Siap
75,83,88,66,Siap
68,67,68,64,Siap
80,79,58,100,Siap
48,61,61,49,Siap
87,87,63,67,Siap
63,62,37,49,Siap
100,95,100,69,Siap
41,49,41,36,Siap
100,100,92,68,Siap
64,69,63,81,Siap
45,45,39,61,Siap
45,52,59,70,Siap
31,76,43,61,Siap
76,74,55,40,Siap
73,65,56,69,Siap
38,33,34,76,Siap
64,61,63,53,Siap
100,100,80,82,Siap
95,88,83,58,Siap
78,68,64,64,Siap
62,59,79,45,Siap
53,63,46,36,Siap
74,69,93,53,Siap
41,47,61,30,Siap
51,55,74,38,Siap
30,21,48,34,Siap
57,73,62,70,Siap
78,65,70,58,Siap
45,58,54,68,Siap
85,97,100,71,Siap
27,52,72,40,Siap
14,41,31,51,Siap
65,61,66,80,Siap
76,81,82,61,Siap
74,100,71,82,Siap
44,46,58,44,Siap
80,78,88,91,Siap
65,57,50,47,Siap
56,49,50,62,Siap
82,81,83,87,Siap
63,86,65,52,Siap
24,26,28,51,Siap
88,82,89,62,Siap
100,80,85,100,Siap
56,59,45,52,Siap
43,72,69,72,Siap
72,73,92,45,Siap
65,66,62,49,Siap
53,32,72,60,Siap
37,66,66,74,Siap
54,63,67,64,Siap
79,78,66,74,Siap
67,70,45,65,Siap
57,45,46,66,Siap
68,86,58,72,Siap
0,0,11,29,Belum Siap
72,79,86,73,Siap
31,20,18,33,Belum Siap
60,53,56,41,Siap
35,45,73,42,Siap
16,50,41,47,Siap
85,80,77,64,Siap
59,52,31,46,Siap
69,67,56,70,Siap
54,53,74,64,Siap
59,84,46,100,Siap
54,69,66,100,Siap
34,35,27,32,Siap
64,96,87,54,Siap
51,57,43,38,Siap
17,34,37,32,Belum Siap
45,53,48,82,Siap
82,99,84,92,Siap
68,82,72,60,Siap
58,63,44,95,Siap
63,51,67,73,Siap
56,62,79,23,Siap
91,100,66,100,Siap
75,69,62,57,Siap
68,68,83,68,Siap
69,83,68,100,Siap
64,63,48,81,Siap
37,63,42,55,Siap
65,42,66,75,Siap
61,51,89,26,Siap
61,54,38,89,Siap
74,68,77,73,Siap
62,70,62,94,Siap
71,82,84,61,Siap
62,61,74,63,Siap
53,57,84,64,Siap
21,28,30,12,Belum Siap
81,68,68,65,Siap
65,79,64,52,Siap
69,88,65,77,Siap
0,0,8,72,Belum Siap
95,99,100,73,Siap
58,50,41,45,Siap
86,93,60,72,Siap
27,43,53,35,Siap
75,79,65,63,Siap
35,31,25,45,Siap
29,55,50,60,Siap
90,100,84,82,Siap
51,57,53,60,Siap
58,64,69,81,Siap
77,83,72,58,Siap
67,70,55,78,Siap
62,57,59,57,Siap
70,56,65,54,Siap
100,100,76,71,Siap
58,73,39,67,Siap
62,62,90,64,Siap
86,82,80,61,Siap
84,88,93,74,Siap
73,90,84,68,Siap
76,69,80,71,Siap
39,31,56,62,Siap
99,98,79,78,Siap
42,45,59,37,Siap
59,67,89,42,Siap
38,39,69,51,Siap
38,67,78,65,Siap
66,67,69,74,Siap
56,60,73,70,Siap
55,79,86,33,Siap
94,95,76,82,Siap
76,72,58,67,Siap
56,55,53,60,Siap
71,79,67,53,Siap
78,83,89,64,Siap
28,27,71,30,Siap
51,78,52,70,Siap
72,70,71,72,Siap
47,45,77,46,Siap
96,89,74,85,Siap
49,53,60,76,Siap
70,63,51,78,Siap
63,61,49,83,Siap
65,54,51,64,Siap
33,38,48,40,Siap
33,20,26,57,Siap
84,100,100,65,Siap
48,34,32,59,Siap
39,37,38,81,Siap
14,24,41,37,Belum Siap
